document,class_name,class_index,dataset_type
distribute version control system,5,2,train
functional assumption commitment specification,6,5,train
kinetic evolutionary dynamic aggregate gene metabolism origin life evolution press,8,6,train
recent development concrete nondestructive evaluation,6,5,train
pressure induce silica soft mode instability,6,5,train
probabilistic theory special mechanic,8,6,train
ensemble method empirical study,3,3,train
individual social strategy multi decision making,9,8,train
quantitative finance efficient factor garch model factor model,4,9,train
macroeconomic finance empirical finance,4,9,train
glass microstructure focus ion beam,6,5,train
apply requirement method light case study,5,2,train
fully nonlinear control system,5,2,train
effect quality consideration information management cotton production high,0,4,train
cost carbon capture,7,7,train
entropy estimate natural dna sequence,2,1,train
multiagent cooperative search portfolio selection,4,9,train
model decision make probabilistic,9,8,train
abstract observation point problem,6,5,train
switch state space model,3,3,train
global change biology nitrogen soil stock depth forest southern,0,4,train
balance safety performance tradeoff internet security,5,2,train
feedforward neural network design symmetry constraint,3,3,train
rigorous development safety critical system base coordinated atomic action,5,2,train
valuation performance dependent option,4,9,train
model base clustering datum transformation gene expression datum,2,1,train
base software testing,5,2,train
match configuration protein bioinformatic,2,1,train
learn gaussian graphical model gene network discovery rate control,2,1,train
real time control system design,5,2,train
scheme investment consumption problem drive stock price,4,9,train
rule extraction recurrent neural network,3,3,train
dairy specie specific identification commercial strain,7,7,train
engineer base composite material,6,5,train
model distribution water constant landmine homogeneous soil,0,4,train
switch law networked visual control system,5,2,train
fuzzy set operation research perspective,9,8,train
trigger thermal maximum methane release,7,7,train
volatility synthesis solution,4,9,train
line approach solid state image,6,5,train
search black hole arbitrary network,8,6,train
independent array independent time gene expression,2,1,train
individual air fuel ratio estimation diesel engine cylinder purpose,7,7,train
survey announcement effect foreign exchange return,4,9,train
chapter recommend soil test macro exchange capacity,0,4,train
low cost control system small autonomous,5,2,train
search scalable approach base control,3,3,train
compare graph representation protein structure mine family specific residue base motif,2,1,train
advanced diagnostic system gas turbine generator set experimental validation final report,7,7,train
system network error activity wireless,8,6,train
statistical mechanic approach system,4,9,train
hybrid approach neural network base language processing,3,3,train
finite element post buckling analysis formulation,6,5,train
gene prediction hide markov model,2,1,train
early release overview executive summary,7,7,train
microscopy transmission electron microscopy biological,6,5,train
formal verification time trigger system,5,2,train
plant resistance development analysis head chinese line,0,4,train
molecular biology research efficient structured pattern profile motif search,2,1,train
fundamental explain international impact interest rate evidence firm level,4,9,train
evolutionary developmental neural network robust robotic control,3,3,train
simple rule monetary policy,4,9,train
dynamic branch prediction perceptron,3,3,train
martensitic crystal phase transformation rational mechanic analysis laminate microstructure martensitic crystal phase,6,5,train
improve memory bound dynamic programming decentralized,9,8,train
simulate physics computer,8,6,train
quantum transfer secure individual measurement,8,6,train
environment health aspect agriculture,0,4,train
quantification water oxygen observation basin,6,5,train
behavior cell cycle,6,5,train
design analysis composite energy,6,5,train
default risk model evidence market,4,9,train
understand bacterial response analysis system,2,1,train
result work report period,7,7,train
management distribute access control system,5,2,train
curve topological string theory,8,6,train
find composite regulatory pattern dna sequence,2,1,train
version management document,5,2,train
exact approximate algorithm partially observable markov decision process,9,8,train
work paper collective action water irrigation,0,4,train
enable gene expression analysis understand disease optimize treatment,2,1,train
hedging market timing select interest rate exposure corporate debt,4,9,train
signature nitrogen zeolite,6,5,train
apply formal method information security device experience report,5,2,train
low cost high temperature aluminum objective,6,5,train
theory concept combination structure set property,8,6,train
filter real time individual cylinder air fuel ratio diesel engine test,7,7,train
recurrent neural network learn deterministic representation fuzzy finite state automata,3,3,train
dynamic base master equation challenge understanding complexity,8,6,train
institutional investor limit arbitrage,4,9,train
utilize gain performance industrial automation system,5,2,train
algorithm protein structure,2,1,train
user instrument robot goal,9,8,train
oil price oil demand shock oil supply shock dynamic effect,7,7,train
oral presentation session model exploration branch extension response cotton,0,4,train
learning generalization cooperative physical interaction robot,5,2,train
gene expression drive module discovery microarray datum,2,1,train
distribution support bottleneck dispersion modern human,1,0,train
flow base explanation return predictability,4,9,train
supply matter asset price evidence emerge market,4,9,train
artificial decision make uncertainty intelligent building,9,8,train
regulatory element annotation system,2,1,train
model assessment tool landscape level impact land choice,0,4,train
volume molecular algorithm path,2,1,train
team mobile robot play complex game,3,3,train
theory refinement search space network topology,3,3,train
credit risk model structural model,4,9,train
high precision computation mathematical physics,8,6,train
incorporate influence risk measurement survey literature forthcoming,4,9,train
program implement quantum locality game,8,6,train
evolutionary learning rich neural network,3,3,train
framework sequential planning multi agent setting,9,8,train
author corporate governance impact managerial risk creation high low acquisition,4,9,train
analysis control catalytic flow reactor,7,7,train
probabilistic discovery cellular process regulation,2,1,train
motion control robot,5,2,train
commercial coal utilization product technology trend summary,7,7,train
nonlinear stabilization quantize feedback,5,2,train
editor control game,3,3,train
generalization symbolic abstraction cascade recurrent network,3,3,train
material science fundamental aspect relation deformation microstructure,6,5,train
change associate silicate weather natural,6,5,train
bisimulation relation dynamical control system,5,2,train
visual query find pattern,2,1,train
regime gene transcription model,8,6,train
extension linear independent component analysis neural information theoretic method,3,3,train
detection microarray image,2,1,train
error tolerant model incorporate biological knowledge expression datum estimate gene network,2,1,train
evaluation vector space representation text base gene clustering,2,1,train
temporal response precipitation temperature central,0,4,train
academic concrete technology,7,7,train
magnetic dinger operator,8,6,train
optimal adaptation web process coordination constraint,9,8,train
face neural network approach,3,3,train
evolutionary robotic exploit full power organization,5,2,train
derive support reduction,6,5,train
source control change,5,2,train
approximation transport nonlinear equilibrium equilibrium adsorption,8,6,train
assessment drought tolerance,0,4,train
differential string structure,8,6,train
comparison supervise learning method spike time code,3,3,train
structure conformal field theory theory thermodynamic,8,6,train
carbon stock change carbon sequestration potential soil,0,4,train
set qualitative decision making,9,8,train
preliminary incomplete draft,4,9,train
theory evidence investment framework work paper,4,9,train
global capital market,4,9,train
direct strength elastic recycle aggregate concrete,7,7,train
mechanic methodology textile composite material,6,5,train
protein structure function bioinformatic evaluation local structure base,2,1,train
computer aid optimization dna array design manufacturing,2,1,train
particle physics century,8,6,train
function decomposition method development hierarchical,9,8,train
decision making brain elsevi preparation correspond author,9,8,train
experiment management component problem solve environment,6,5,train
discovery algorithm sequential datum,2,1,train
language acquisition symbol transfer neural network cognitive robot,3,3,train
face process view,3,3,train
evolutionary algorithm construct recurrent neural network,3,3,train
review control method application method,3,3,train
framework specification transaction,5,2,train
speculative identification conflict conflict,5,2,train
holocene vegetation fire history,1,0,train
cognitive model recognition base decision making,9,8,train
nondestructive evaluation composite structure liquid crystal,6,5,train
fiber coefficient optical network,6,5,train
base maximum entropy classifier biological sequence,2,1,train
model dna sequence network,2,1,train
statistical challenge functional genomic,2,1,train
rate independent construct chemical computation,8,6,train
long short term memory learn context free context sensitive language,3,3,train
identify active pathway gene network estimate gene expression datum,2,1,train
market base rate application natural gas regulation,7,7,train
class intelligent agent coordinated control terrain mapping,5,2,train
research inspection method bond defect aluminum structure guide wave,6,5,train
visual program module choice modular language,5,2,train
form current layer line tie magnetic field,8,6,train
nonlinear variable projection method application,3,3,train
line learn algorithm locally recurrent neural network,3,3,train
discover pattern gene expression profile,2,1,train
modelling control medium duty electric,7,7,train
event drive simulation model large network spike,3,3,train
survey fuzzy cognitive map paper paper,3,3,train
notice public hearing adoption propose control measure stationary compression ignition engine,7,7,train
class grow potential,8,6,train
climate policy instrument domestic fuel,7,7,train
privacy risk model design privacy sensitive ubiquitous computing system,9,8,train
transfer learn propagation neural network learning task,3,3,train
cancer classification gene expression datum,2,1,train
datum mining interface computer science statistic,3,3,train
organize latent lattice model temporal gene expression,2,1,train
user generate content stock performance matter dynamic user,4,9,train
tissue classification gene expression profile,2,1,train
preliminary version contact author,4,9,train
determination property composite material probabilistic interval fuzzy approach,6,5,train
hierarchical decision theoretic robotic,9,8,train
art science micro,6,5,train
financial financial structure domestic investment international evidence,4,9,train
article free open access research accept inclusion school business research information contact,4,9,train
direct length base dna computing short path problem,2,1,train
empirical assessment business derive implement mobile technology,9,8,train
robust full learn neural network,3,3,train
induce radiation damage large size crystal sample,6,5,train
design electronic interface,8,6,train
effect performance film,6,5,train
distribute boundary simulation,6,5,train
social science analysis research theoretical framework,9,8,train
run time selection coordination mechanism multi agent system,9,8,train
transition state protein fold kinetic structural interpretation,8,6,train
spectral move method equation,6,5,train
understand emergence modularity neural system,3,3,train
share user behavior world wide web,9,8,train
solve continuous large discrete observation space,9,8,train
local primitive causality common principle theory find,8,6,train
weight bias environmental decision analysis,9,8,train
orient physical network,2,1,train
role development emerge equity market forthcoming review economic statistic,4,9,train
library number sale document,7,7,train
unify review linear gaussian model,3,3,train
computational study formation flame early follow ignition,7,7,train
coordination locomotion virtual robot,3,3,train
input output sequence processing,3,3,train
role inventory speculative trading global market crude oil work paper,7,7,train
mapping alignment program sequence,2,1,train
unsupervised learning recurrent neural network line technical report,3,3,train
role statistic education agricultural science student,0,4,train
reproduce publish american copyright reserve alternative benchmark optimal rate nitrogen,0,4,train
software approach detection line analysis safety constraint,5,2,train
option price asset market,4,9,train
unitary large diversity sum,8,6,train
transport porous medium medium,6,5,train
thesis construction application text index,2,1,train
advance selective human dna protein derive agent,7,7,train
soil effect thermal signature bury landmine,0,4,train
semantic web architecture agent determine preference facilitate decision making,9,8,train
learn cognition education,9,8,train
electronic article marker assist selection leaf disease resistance yield marker,0,4,train
liquid method simultaneous estimation calcium form,6,5,train
treatment qualitative decision criterion,9,8,train
original paper system biology inference transcriptional regulatory network stage constrain space factor analysis,2,1,train
decision making trade probability,9,8,train
generalize function blind separation complex signal,3,3,train
component base framework development distribute real time control system,5,2,train
approach structured consensus motif inference specificity constraint,2,1,train
model dependency protein dna bind site,2,1,train
adsorption design guide table content,7,7,train
protein base multiple protein structure alignment,2,1,train
coal utilization product cover top building material,7,7,train
thesis perform system,7,7,train
bioinformatic advance access publish,2,1,train
general modeling combine concept field model space address link,8,6,train
unsupervised neural network,3,3,train
nonparametric analysis forward rate volatility work paper,4,9,train
plate global model earth history,8,6,train
modeling inference sequence structure specificity,2,1,train
goal direct adaptive behavior order neural network evolve architecture,3,3,train
scene corporate governance preference institutional investor work paper,4,9,train
recognition statistical size distribution micro domain image film processing,6,5,train
analysis mineral oil,6,5,train
gauge transformation topology computation gas automata,8,6,train
base approach preference elicitation decision making,9,8,train
composite material method result cost time risk reduction,6,5,train
report workshop reinforcement learning,3,3,train
trend fiber communication system high transmission capacity,6,5,train
project reliability application natural gas pipeline,7,7,train
path model theory,8,6,train
genetic programming fuzzy rule base system intelligent control,5,2,train
development probabilistic design system gas turbine,6,5,train
methodology normative policy analysis,9,8,train
spectral analysis magnetic manifold,8,6,train
bit future quantum information processing,8,6,train
description technological characteristic,0,4,train
trust relational capital,9,8,train
review news option pricing statistical inference,4,9,train
technical report trade time vary exchange rate bound,4,9,train
artificial decision make uncertainty intelligent building,9,8,train
combine influence diagram tie,9,8,train
governor information selection market high education,9,8,train
communicate neural network knowledge agent simulate aerial system,3,3,train
bioinformatic effective similarity measure expression profile,2,1,train
intelligent computing complex dynamical system,5,2,train
induce process model biological time series,8,6,train
recurrent network structured datum unify approach property,3,3,train
analysis adaptive load sharing algorithm,9,8,train
model conditional probability density neural network,3,3,train
case base reinforcement learning approach improve reactive control system autonomous robotic navigation,5,2,train
aware table behavior,9,8,train
planning design mediate system group decision making,9,8,train
dimension time human evolution,1,0,train
combinatorial approach motif discovery dna sequence,2,1,train
robust integrate circuit approach,2,1,train
secure health architecture base,9,8,train
algorithm evolve limit hold play agent,3,3,train
robotic apply modern technique,3,3,train
comparison machine learning traditional classifier diagnosis,3,3,train
natural gas company,7,7,train
mathematic geometry education collaborative augment reality,9,8,train
importance loss function option pricing,4,9,train
agent base application health care,9,8,train
display information time critical decision making,9,8,train
realize volatility improve accuracy risk forecast,4,9,train
advance instance base learning algorithm,3,3,train
rate moment markov chain associate dirichlet process,9,8,train
couple physically base approach model conventional manage subsurface,0,4,train
coalbed methane discharge water interaction stream channel sediment,7,7,train
bad beta good beta,4,9,train
decision theoretic scheduling problem solve,9,8,train
guide acoustic wave assess effect thermal mechanical composite,6,5,train
resonance speech play instrument human program,1,0,train
degradation mechanism large signal operation,6,5,train
relate decision uncertainty decision make model,9,8,train
structural break effect japanese foreign exchange intervention exchange rate volatility,4,9,train
numerical method carlo simulation model,6,5,train
metallic element fly ash,7,7,train
inversion indirect optimal control system,5,2,train
theory dynamical system,8,6,train
publish information availability publication contact,0,4,train
importance view cognition result process time scale,5,2,train
adsorption heterogeneous system method,7,7,train
development history note understand software architecture,5,2,train
experiment design detector,6,5,train
relation soil moisture satellite vegetation index corn,0,4,train
general property model formalism,2,1,train
maize testing location approve,0,4,train
evolutionary emergence route artificial intelligence,3,3,train
artificial intelligence vol submit planning treatment disease partially observable markov decision process,9,8,train
analysis parallel program barrier,6,5,train
technique titanium oxide,6,5,train
pure gauge theory modular form,8,6,train
test variant hypothesis,0,4,train
relate choice agent rationality agent model uncertainty experimental study,0,4,train
good practice uncertainty management national greenhouse gas inventory emission production,7,7,train
reduce chemistry diffusion couple,8,6,train
atmospheric global change,7,7,train
extreme resolution numerical adaptive refinement star formation,8,6,train
neural simulator pollution factor impact quality air,7,7,train
exact form factor quantum field theory,8,6,train
support information article large scale model system,8,6,train
efficiently dna sequence genome,2,1,train
document classification unsupervised artificial neural network,3,3,train
effect high high school evidence school center work paper,9,8,train
modern standard base access control network service action,5,2,train
safe international portfolio choice,4,9,train
evaluate aggregate data quality dimension datum,9,8,train
bioinformatic compute maximum similarity cluster gene expression datum,2,1,train
future innovation science technology international innovation,6,5,train
global protein sequence reveal biological signature,2,1,train
diesel fuel tax regulation regulation,7,7,train
task encoding vision base control system,5,2,train
exchange rate band policy issue role capital,4,9,train
impact medical home social insurance policy saving inequality,9,8,train
connectionist modeling language implication,3,3,train
communication constraint coordinated consensus problem,5,2,train
hierarchical analysis distribute program,6,5,train
face recognition neural network approach,3,3,train
symposium paper presentation poster effect natural property,0,4,train
recurrent neural network adaptive temporal processing,3,3,train
wireless sensor actor network real time climate control monitoring greenhouse,5,2,train
structure interpretation mechanic framework,8,6,train
decision make behavioral theory choice,9,8,train
natural resource issue site,7,7,train
proceeding remote sense support crop yield forecast area estimate sahai,0,4,train
control discrete model approach,8,6,train
dynamic characteristic testing device base,6,5,train
station microarray datum analysis,2,1,train
assignment problem network,2,1,train
enable efficient cluster model,6,5,train
meeting linguistic datum define kernel derive probabilistic model,3,3,train
gene expression cellular process,2,1,train
market research discussion,4,9,train
markovian recurrent neural network,3,3,train
interface controller design hybrid control system,5,2,train
graph control system,5,2,train
cluster evolution construct neural network ensemble,3,3,train
integration operation planning scheduling supply chain system review,9,8,train
control system case study formal verification,5,2,train
modeling thermal barrier coating effect diffusion grain strength,6,5,train
field spacetime global locality,8,6,train
markovian recurrent neural network,3,3,train
radiation effect optical fiber mixed gamma radiation field,6,5,train
motif extraction protein classification,2,1,train
behavioral finance review synthesis,4,9,train
support provide matching fund provide,7,7,train
recover texture microstructure real world image,6,5,train
design methodology domain optimize power efficient,6,5,train
artificial evolution path artificial intelligence,5,2,train
speculative bubble dynamic role,4,9,train
assessment average annual methane flux soil,7,7,train
automatic organizing map information retrieval,3,3,train
automatic computation area laser pulse material texture segmentation image,6,5,train
paper population land natural resource management case land area,0,4,train
model temporal logic query,5,2,train
mobile sensor network control mutual information method particle filter,8,6,train
complexity policy evaluation horizon partially observable markov decision process,9,8,train
framework combine symbolic neural learning,3,3,train
analysis expression profile class discovery leaf,2,1,train
protein base multiple protein structure alignment,2,1,train
property composite material,6,5,train
content base temporal processing video,3,3,train
distribution debt capacity work paper,4,9,train
mapping transcription factor bind region cell chip comparison sequence base technology genome,2,1,train
forecast natural gas production year comparative study,7,7,train
application domain method analysis composite material,6,5,train
development molecular polymer selective removal solution,7,7,train
application extreme theory measure financial risk,4,9,train
comparison equation state,7,7,train
stock price volatility jump evidence spot option price,4,9,train
efficient covariance matrix method bayesian gaussian process neural network,3,3,train
predict protein fold kinetic temporal logic model check,8,6,train
dynamical study rule,3,3,train
psychological review press,3,3,train
organize coordinated motion group physically connect robot,3,3,train
growth model gene expression network,2,1,train
symposium paper presentation poster,0,4,train
model dynamic credit spread stochastic volatility,4,9,train
cross adaptive feedback scheduling wireless control system,5,2,train
support information flow integrate paper digital chart,9,8,train
mechanical classical simulation cluster,8,6,train
american option pricing carlo simulation,4,9,train
learn multi scale block local binary pattern face recognition,6,5,train
integrated remote sensing predict soil process,0,4,train
exploration abstraction aware social mobile application,9,8,train
care finding scientific literature,0,4,train
publishing modelling simulation material science engineering,6,5,train
model dependency protein dna bind site,2,1,train
evolutionary function approximation reinforcement learning,3,3,train
decision tree learn genetic programming,4,9,train
model robotic control system,5,2,train
country strategy monitoring forecasting group crop yield forecasting,0,4,train
part neural network base approach,3,3,train
cycle effect economic evidence human,1,0,train
approach knowledge base design recurrent neural network,3,3,train
portable high performance global address space language,6,5,train
simulation option pricing,4,9,train
recurrent neural network adaptive temporal processing,3,3,train
gain trade evidence,4,9,train
dynamical neural network,3,3,train
natural language processing neural network,3,3,train
software agent base control system robot interaction,5,2,train
paper approach crop yield insurance develop country,0,4,train
support science culture,8,6,train
periodic reward base scheduling application power aware real time system,5,2,train
abstract problem solution,0,4,train
object orient library neural network development,3,3,train
incremental search approach real time decision making,9,8,train
specification analysis option pricing model base time change,4,9,train
develop conceptual framework,9,8,train
story revisit social capital resource accumulation firm emerge economy,9,8,train
abstract soil map world digital global soil terrain database,0,4,train
trading frequency asset pricing evidence price impact ratio,4,9,train
visualization investigate effect visualization remote collaborative analysis,9,8,train
sustainability analysis irrigation water management concept methodology application region,0,4,train
practical guide farm research,0,4,train
representation state property system,8,6,train
quantify cascade blackout risk,5,2,train
progress application artificial intelligence tool student diagnosis,3,3,train
image technology analysis information fusion base defect detection,6,5,train
bayesian method neural network,3,3,train
negotiation group autonomous computational agent,9,8,train
efficient encoding natural time varying image produce space time receptive field,3,3,train
development laser ultrasonic application complex shape part,6,5,train
human evolution variation,1,0,train
infrared imaging source distribution nature,6,5,train
market forthcoming energy economic,7,7,train
short path chemical kinetic application,7,7,train
groundwater control release carbon,7,7,train
approach neural network review case study neural network,3,3,train
yield estimation image datum,0,4,train
contribution natural gas vehicle sustainable transport,7,7,train
model theory computer mediate communication base evolution,1,0,train
late human specie,1,0,train
learn mobile robot localization,3,3,train
original paper cognitive enhancement method regulatory challenge,9,8,train
hold strategy financial market bound return,4,9,train
result input state stability nonlinear system delay feedback,5,2,train
influence internal ultrasonic testing,6,5,train
abstraction hybrid control system,5,2,train
benchmark high school,9,8,train
enable agent assist block challenge control complex terrain,9,8,train
explanation base learn robot perception,3,3,train
active vision control system complex environment,5,2,train
gene expression cluster functional mixture model,2,1,train
engineering education material,6,5,train
impact moisture level atmosphere gasification sustainable development,7,7,train
choice private public capital market evidence paper,4,9,train
paper author methane hydrate,7,7,train
distribute learn performance,3,3,train
motion high resolution datum acquisition system,7,7,train
exponential stabilization nonlinear control system homogeneous feedback,5,2,train
electric power natural gas outage study prepare,7,7,train
markov chain eukaryotic promoter recognition,2,1,train
game theoretic analysis share natural gas storage,7,7,train
principal mercury transformation coal combustion gas,7,7,train
multiple multiple attribute decision make method base preference information decision matrix,9,8,train
removal iron zeolite,6,5,train
feature generation sequence categorization,2,1,train
supply implementation interest rate target,4,9,train
interface metal matrix composite compression test,6,5,train
complexity distance base evolutionary tree reconstruction,2,1,train
application ground radar identification subsurface,0,4,train
digital soil mapping,3,3,train
analysis buckling stable thin sheet material,6,5,train
future natural gas role technology gas resource,7,7,train
real effect investor sentiment,4,9,train
integrate instance base learn,3,3,train
geometric database gene expression datum,2,1,train
space time code multiple system,8,6,train
influence microstructure high cycle fatigue,6,5,train
hydrogen gas turbine fuel,7,7,train
automation irrigation system cotton grow large scale case study,0,4,train
connectionist model sentence production,3,3,train
finite time bound iteration,3,3,train
develop reflective model collaborative system,9,8,train
polynomial method optimization robust control function,5,2,train
rapid development distribute control system formal model base control,5,2,train
methane solid waste,7,7,train
application verification control hybrid system,5,2,train
theory qualitative analysis reaction network,8,6,train
logic base switch control nonholonomic system parametric modeling uncertainty,5,2,train
model biological annotation gene expression pathway signature,2,1,train
learn computational model gene regulatory sequence response,2,1,train
bad beta good beta,4,9,train
comparison parallel solver nonlinear elliptic problem base domain decomposition idea,8,6,train
stable digital control network continuous plant subject delay datum,5,2,train
motion effective flow visualization technique power system monitoring control,5,2,train
visualization actor status social network,9,8,train
volatility cluster financial market empirical fact agent base model,4,9,train
hierarchical mixture markov model find biologically active metabolic path gene expression protein class,2,1,train
effect diesel water combustion diesel engine nox emission,7,7,train
construct network model gene expression network microarray datum,2,1,train
extension conformal net structure,8,6,train
farm policy supply control case,0,4,train
coal combustion residue mercury control,7,7,train
external financing investment timing investment cash flow sensitivity,4,9,train
methane flame pressure,7,7,train
formulation interface multi zone problem,6,5,train
remote real time monitor soil water potential system base,0,4,train
base iron age high temperature,1,0,train
soil water flow dynamic manage laboratory investigation water,0,4,train
index option pricing model stochastic volatility stochastic interest rate,4,9,train
judgment decision making perspective,9,8,train
side liquidity cross section expect stock return,4,9,train
boost margin explanation effectiveness vote method,3,3,train
industry concentration manage equity mutual fund,4,9,train
evolve connectionist system line knowledge base learning,3,3,train
particle linear electromagnetic field theory,8,6,train
copyright approve neural network base adaptive control nonlinear dynamic regime,3,3,train
state estimation system perspective output,5,2,train
vote algorithm motif finding problem,2,1,train
system build intelligent agent learn retrieve extract information,3,3,train
deployment alternative cover monitoring system mixed waste unit test site,0,4,train
adaptive quality base clustering gene expression profile,2,1,train
social fundamental impact relative,9,8,train
extract enzyme interaction protein structure information biological science journal article,2,1,train
social agent behaviour formal framework,9,8,train
web base program research decision making,9,8,train
automate video partially observable markov decision process,9,8,train
bayesian inference markov switch stochastic volatility model,4,9,train
cell formula homogenization,6,5,train
platform base embed software design system integration,5,2,train
process monitoring plasma oxidation,6,5,train
gene ontology biclustering expression profile,2,1,train
approach formal verification hybrid system,5,2,train
approach learn mobile robot navigation,3,3,train
context farm management,0,4,train
dynamically add node knowledge base neural network,3,3,train
laser measurement circulate fluidized bed metal particle,7,7,train
extreme resolution numerical adaptive refinement star formation,8,6,train
predict experimental quantity protein fold kinetic,8,6,train
article selective window coating theory experiment,6,5,train
evolutionary approach automatic design ensemble neural network classifier,3,3,train
effect internet political participation analysis survey result year,9,8,train
database multi genome transcription factor bind site,2,1,train
enhanced metal bind capacity leaf tissue,7,7,train
hierarchical multi bottleneck classification method application dna microarray expression datum,2,1,train
evaluation optical fibre plasma diagnostic fusion design,6,5,train
equity ownership firm emerge market,4,9,train
account effect power system controller stability power electricity market price,5,2,train
rapid prototyping apply methane activation,7,7,train
northern forest important sink,0,4,train
automate damage control,9,8,train
experience mobile robotic guide elderly,9,8,train
geometric algebra black hole,8,6,train
autonomous environment task adaptation robotic agent,5,2,train
social capital economic performance analytic,9,8,train
inference nonlinear multivariate diffusion,4,9,train
ultrasonic resonance spectroscopy composite ring,6,5,train
method fluid multiphase material,6,5,train
general system find storage system error,5,2,train
classification hide variable property,8,6,train
effect computational technology composite material research case energy density,6,5,train
conformal mapping method dynamic,6,5,train
compute time neural network sensor network short title compute time,3,3,train
online server sequence,2,1,train
symposium paper presentation poster,0,4,train
recurrent policy gradient,3,3,train
access control challenge physical system,9,8,train
climate volume summer difference ecosystem regional climate force society,0,4,train
article insight rock complex,6,5,train
production oil investment evidence,7,7,train
collective iterative allocation enable fast optimal group decision make role group knowledge decision policy distribute coordination,9,8,train
recurrent neural network small weight implement memory machine,3,3,train
spectral property invariant magnetic operator,8,6,train
single agent architecture support decision making,9,8,train
progress understanding microstructure high alloy composite,6,5,train
exchange rate management emerge market intervention electronic limit order book,4,9,train
representation approximation sequential decision make uncertainty,9,8,train
optic sensor continuous health monitoring composite material,6,5,train
estimation area index ground spectral measurement agriculture crop prediction capability assessment optical index,0,4,train
mine datum background knowledge artificial neural network,3,3,train
synthesis base functional transformation,5,2,train
perspective firm decision make technology acquisition,9,8,train
estimation test simple,4,9,train
application tracking simulation transfer,6,5,train
application stochastic cooperative game water resource,0,4,train
agricultural economic economic deterministic simulation approach,0,4,train
genomic sequence case study constrain heavy segment work draft,2,1,train
original paper sequence analysis identification transcription factor bind site variable order bayesian network,2,1,train
compare power access control model,5,2,train
managerial market governance role shareholder control structure,4,9,train
agent base model environment,9,8,train
large scale collective decision making system,9,8,train
integrate support product search tool commerce site,9,8,train
evolution neural network sequential decision task,3,3,train
effect flame interaction,7,7,train
foundation physics general realistic,8,6,train
failure study composite material,6,5,train
analysis optimization carbon metabolism,2,1,train
social capital sustainable development,9,8,train
hold ultrasonic stress corrosion,7,7,train
case study discrete,5,2,train
technology vehicle educational robotic project,9,8,train
consistent pricing interest rate interest rate derivative,4,9,train
combine method method,3,3,train
time evaluate hybrid,0,4,train
apply model drive architecture approach model role base access control system,5,2,train
crisis wide area security architecture,5,2,train
comparison bus architecture safety critical embed system,5,2,train
dynamic field theory,8,6,train
management zone multiple crop yield datum,0,4,train
develop complex system evolve pattern generator,3,3,train
bank connection corporate investment crisis,4,9,train
full address correspond author,2,1,train
strategic behavior financing stock return,4,9,train
parallel compute large sparse matrix,8,6,train
optimize fix size stochastic controller decentralized,9,8,train
click full article,7,7,train
protect document microstructure difference,6,5,train
comparison linear genetic programming,2,1,train
robust genetic network modeling add noisy datum,2,1,train
optimization method deep learning,3,3,train
stability base validation cluster solution,2,1,train
biology eukaryotic promoter,2,1,train
world test bed investigate multi agent system,9,8,train
black hole equilibrium,8,6,train
bit error rate quantum key distribution report submit component project module,8,6,train
abstraction hybrid control system,5,2,train
electronic augment reality system,8,6,train
fluidized bed combustion power generation project,7,7,train
differential form nonlinear control system time scale,5,2,train
original article perspective human,1,0,train
semi classical asymptotic function operator large magnetic field,8,6,train
knowledge calibration consumer,9,8,train
autonomous agent prototype,5,2,train
model validate distribute embed real time control system,5,2,train
model human decision multi agent system approach,9,8,train
reference power block application,7,7,train
equivalence knowledge representation automata recurrent neural network dynamical fuzzy system,3,3,train
integrate resource control performance management multimedia network,5,2,train
term structure real rate expect inflation work paper,4,9,train
trust detect agent artificial society,9,8,train
map irrigation area remote sense datum,0,4,train
argumentation multi agent decision making,9,8,train
qualitative decision make uncertainty criterion,9,8,train
hypothesis test microarray system,2,1,train
machine approach performance prediction total order protocol,3,3,train
digital government simulation model understand pattern trend soil climate regime drought event,0,4,train
fault tolerance extension embed bus system,5,2,train
calculation forward model operational retrieval,7,7,train
long term monitor sense hard,6,5,train
simulation computer aid control system design equation base object orient modelling,5,2,train
context free context sensitive dynamic recurrent neural network,3,3,train
autonomous adaptive hierarchy multiple fuzzy behavior,5,2,train
window flow control property factor,5,2,train
dirichlet mixture method improve detection weak significant protein sequence homology,2,1,train
risk premium macroeconomic dynamic heterogeneous agent model,4,9,train
network inference regression base topological refinement,2,1,train
determinant productivity specie central,0,4,train
complexity horizon decision process problem,9,8,train
field imaging subsurface inclusion laminated composite structure,6,5,train
framework sequential planning multi agent setting,9,8,train
place field model,3,3,train
constructive feedforward neural network regression problem survey,3,3,train
security bit commitment scheme,8,6,train
evolve neural network,3,3,train
stochastic dynamic finite size neural network,3,3,train
synthesis growth mechanism single metal oxide nanotube,6,5,train
real time executive base model base planning,5,2,train
aggregation function engineering design tradeoff,9,8,train
access control system,5,2,train
automatic organizing map information retrieval,3,3,train
semantic detection detection presentation,5,2,train
year diversification announcement,4,9,train
screen learn flat semantic spoken language analysis artificial neural network,3,3,train
pattern discovery entropy base multiple local alignment,2,1,train
coordination belief update distribute anti air environment,9,8,train
datum crop production estimation system risk management,0,4,train
study soil water hold property affect,0,4,train
online ultrasonic testing system composite,6,5,train
constructive connectionist approach robot learning,3,3,train
error attack wireless,8,6,train
model air move influence game,9,8,train
flexible approximate computation state space reduction,9,8,train
